Time,Capital,Output
0,1.015,1
0.1,1.03001,1.00448
0.2,1.04504,1.00891
0.3,1.06008,1.01331
0.4,1.07514,1.01766
0.5,1.0902,1.02197
0.6,1.10527,1.02625
0.7,1.12036,1.03048
0.8,1.13545,1.03468
0.9,1.15055,1.03884
1,1.16566,1.04297
1.1,1.18077,1.04706
1.2,1.19589,1.05111
1.3,1.21101,1.05513
1.4,1.22614,1.05912
1.5,1.24127,1.06307
1.6,1.2564,1.06699
1.7,1.27154,1.07087
1.8,1.28667,1.07473
1.9,1.30181,1.07855
2,1.31695,1.08234
2.1,1.33209,1.0861
2.2,1.34722,1.08983
2.3,1.36236,1.09353
2.4,1.37749,1.0972
2.5,1.39262,1.10085
2.6,1.40775,1.10446
2.7,1.42287,1.10804
2.8,1.43798,1.1116
2.9,1.4531,1.11513
3,1.4682,1.11864
3.1,1.48331,1.12211
3.2,1.4984,1.12556
3.3,1.51349,1.12899
3.4,1.52857,1.13238
3.5,1.54364,1.13576
3.6,1.5587,1.13911
3.7,1.57376,1.14243
3.8,1.58881,1.14573
3.9,1.60384,1.149
4,1.61887,1.15225
4.1,1.63388,1.15548
4.2,1.64889,1.15869
4.3,1.66388,1.16187
4.4,1.67886,1.16503
4.5,1.69383,1.16817
4.6,1.70879,1.17128
4.7,1.72373,1.17437
4.8,1.73866,1.17745
4.9,1.75358,1.1805
5,1.76848,1.18353
5.1,1.78337,1.18653
5.2,1.79824,1.18952
5.3,1.8131,1.19249
5.4,1.82794,1.19544
5.5,1.84277,1.19836
5.6,1.85758,1.20127
5.7,1.87238,1.20416
5.8,1.88716,1.20703
5.9,1.90192,1.20988
6,1.91666,1.21271
6.1,1.93139,1.21552
6.2,1.9461,1.21832
6.3,1.96079,1.2211
6.4,1.97546,1.22385
6.5,1.99012,1.22659
6.6,2.00475,1.22932
6.7,2.01937,1.23202
6.8,2.03397,1.23471
6.9,2.04855,1.23738
7,2.0631,1.24003
7.1,2.07764,1.24267
7.2,2.09216,1.24529
7.3,2.10666,1.2479
7.4,2.12113,1.25048
7.5,2.13559,1.25306
7.6,2.15002,1.25561
7.7,2.16444,1.25815
7.8,2.17883,1.26068
7.9,2.1932,1.26318
8,2.20754,1.26568
8.1,2.22187,1.26816
8.2,2.23617,1.27062
8.3,2.25045,1.27307
8.4,2.26471,1.2755
8.5,2.27895,1.27792
8.6,2.29316,1.28032
8.7,2.30735,1.28272
8.8,2.32151,1.28509
8.9,2.33565,1.28745
9,2.34977,1.2898
9.1,2.36386,1.29213
9.2,2.37793,1.29445
9.3,2.39198,1.29676
9.4,2.406,1.29905
9.5,2.42,1.30133
9.6,2.43397,1.3036
9.7,2.44792,1.30585
9.8,2.46184,1.30809
9.9,2.47574,1.31032
